trip_id,start_time,end_time,headway_secs
930D2I,24:50:00,25:30:00,2400
930D2V,7:00:00,7:32:00,1920
930D2V,7:32:00,19:42:00,894
930D2V,19:42:00,19:53:00,1320
930D2V,19:53:00,20:04:00,660
930D2V,20:04:00,23:25:00,724
930D2V,23:25:00,24:10:00,2700
930D2V,24:10:00,24:50:00,2400
930D2V,24:50:00,25:30:00,2400
930D0I,6:15:00,6:35:00,1200
930D0I,6:35:00,23:30:00,661
930D0I,23:30:00,24:10:00,2400
930D0I,24:10:00,24:50:00,2400
930D0I,24:50:00,25:30:00,2400
930D0V,6:00:00,6:16:00,960
930D0V,6:16:00,7:17:00,915
930D0V,7:17:00,7:28:00,1320
930D0V,7:28:00,7:39:00,660
930D0V,7:39:00,8:32:00,795
930D0V,8:32:00,8:42:00,1200
930D0V,8:42:00,8:52:00,300
930D0V,8:52:00,9:12:00,1200
930D0V,9:12:00,9:22:00,600
930D0V,9:22:00,19:46:00,681
930D0V,19:46:00,19:55:00,1080
930D0V,19:55:00,20:04:00,540
930D0V,20:04:00,22:50:00,697
930D0V,22:50:00,23:30:00,2400
930D0V,23:30:00,24:10:00,2400
930D0V,24:10:00,24:50:00,2400
930D0V,24:50:00,25:30:00,2400
930D1I,6:35:00,7:10:00,2100
930D1I,7:10:00,8:03:00,1590
930D1I,8:03:00,8:46:00,860
930D1I,8:46:00,22:45:00,699
930D1I,22:45:00,23:10:00,1500
930D1I,23:10:00,23:50:00,2400
930D1I,23:50:00,27:05:00,2400
930D1V,6:00:00,6:35:00,2100
930D1V,6:35:00,7:30:00,1650
930D1V,7:30:00,8:31:00,915
930D1V,8:31:00,9:21:00,750
930D1V,9:21:00,9:31:00,1200
930D1V,9:31:00,9:41:00,600
930D1V,9:41:00,15:46:00,730
930D1V,15:46:00,15:57:00,1320
930D1V,15:57:00,16:08:00,660
930D1V,16:08:00,21:17:00,742
930D1V,21:17:00,21:29:00,1380
930D1V,21:29:00,21:41:00,720
930D1V,21:41:00,22:50:00,828
930D1V,22:50:00,23:50:00,1800
930D1V,23:50:00,27:05:00,2400
860D2I,7:10:00,7:57:00,2820
860D2I,7:57:00,8:34:00,1110
860D2I,8:34:00,19:14:00,800
860D2I,19:14:00,19:25:00,1320
860D2I,19:25:00,19:36:00,660
860D2I,19:36:00,22:30:00,746
860D2I,22:30:00,23:00:00,1800
860D2I,23:00:00,23:50:00,3000
860D2I,23:50:00,24:40:00,3000
860D2I,24:40:00,25:30:00,3000
860D2V,6:50:00,7:35:00,2700
860D2V,7:35:00,8:35:00,1200
860D2V,8:35:00,9:32:00,855
860D2V,9:32:00,9:42:00,1200
860D2V,9:42:00,9:52:00,600
860D2V,9:52:00,22:25:00,791
860D2V,22:25:00,23:25:00,3600
860D2V,23:25:00,24:15:00,3000
860D2V,24:15:00,25:05:00,3000
860D0I,5:45:00,6:10:00,1500
860D0I,6:10:00,6:48:00,1140
860D0I,6:48:00,22:25:00,461
860D0I,22:25:00,23:00:00,2100
860D0I,23:00:00,23:50:00,3000
860D0I,23:50:00,24:40:00,3000
860D0I,24:40:00,25:30:00,3000
860D0V,5:20:00,6:10:00,3000
860D0V,6:10:00,7:31:00,608
860D0V,7:31:00,7:45:00,1260
860D0V,7:45:00,7:58:00,1200
860D0V,7:58:00,8:05:00,840
860D0V,8:05:00,8:12:00,420
860D0V,8:12:00,8:38:00,520
860D0V,8:38:00,8:44:00,720
860D0V,8:44:00,8:50:00,360
860D0V,8:50:00,12:03:00,414
860D0V,12:03:00,12:10:00,840
860D0V,12:10:00,12:17:00,420
860D0V,12:17:00,22:15:00,492
860D0V,22:15:00,22:35:00,1200
860D0V,22:35:00,23:25:00,3000
860D0V,23:25:00,24:15:00,3000
860D0V,24:15:00,25:05:00,3000
860D1I,5:45:00,6:35:00,3000
860D1I,6:35:00,7:48:00,2190
860D1I,7:48:00,8:27:00,1170
860D1I,8:27:00,23:00:00,624
860D1I,23:00:00,27:10:00,1500
860D1V,5:20:00,6:10:00,3000
860D1V,6:10:00,7:24:00,2220
860D1V,7:24:00,8:03:00,1170
860D1V,8:03:00,8:49:00,690
860D1V,8:49:00,8:58:00,1080
860D1V,8:58:00,9:07:00,540
860D1V,9:07:00,16:19:00,682
860D1V,16:19:00,16:28:00,1140
860D1V,16:28:00,16:37:00,540
860D1V,16:37:00,20:29:00,605
860D1V,20:29:00,20:37:00,960
860D1V,20:37:00,20:45:00,480
860D1V,20:45:00,23:00:00,579
860D1V,23:00:00,26:45:00,1500
1053D2I,7:51:00,8:16:00,1500
1053D2I,8:16:00,22:30:00,1067
1053D2V,7:10:00,7:48:00,2280
1053D2V,7:48:00,22:30:00,1058
1053D0I,6:40:00,7:10:00,1800
1053D0I,7:10:00,21:24:00,674
1053D0I,21:24:00,22:30:00,1230
1053D0V,6:00:00,6:28:00,1680
1053D0V,6:28:00,7:00:00,960
1053D0V,7:00:00,8:51:00,740
1053D0V,8:51:00,9:03:00,1380
1053D0V,9:03:00,9:15:00,720
1053D0V,9:15:00,10:21:00,792
1053D0V,10:21:00,10:32:00,1260
1053D0V,10:32:00,10:43:00,660
1053D0V,10:43:00,21:45:00,662
1053D0V,21:45:00,22:30:00,900
1053D1I,7:40:00,8:10:00,1800
1053D1I,8:10:00,8:59:00,1470
1053D1I,8:59:00,22:30:00,1150
1053D1V,7:20:00,7:55:00,2100
1053D1V,7:55:00,10:43:00,1440
1053D1V,10:43:00,11:01:00,2160
1053D1V,11:01:00,11:19:00,1080
1053D1V,11:19:00,22:30:00,1175
